,Values
Sustainability Rate,High
Percent Rank in Global Category,4%
Historical Sustainability Score,43.33
Global Category,Korea Equity
Portfolio ESG,52.09
Controversy Deduction,8.47
Sustainability Score,43.62
Sustainability Mandate,No
