,Values
NAV,"7,933.41"
Open Price,"7,845.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"536.0 / 4,690.3"
Day Range,"7,815.00 – 7,920.00"
Year Range,"7,470.00 – 9,090.00"
SEC Yield ,—
12-Month Yield ,1.64%
Premium ,—
Expense Ratio,0.210%
Total Assets,486.7 Bil
