Sectors,Fund %,Category %
Basic Materials,14.06,8.70
Consumer Cyclical,19.42,13.65
Financial Services,9.20,11.56
Real Estate,0.00,0.29
Communication Services,1.48,2.34
Energy,1.92,1.96
Industrials,20.89,10.46
Technology,10.94,38.20
Consumer Defensive,12.75,6.64
Healthcare,8.49,4.97
Utilities,0.85,1.23
