,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.16,0.00
Non-U.S.Stock,99.10,0.00,99.10,95.78,99.99
Bonds,0.00,0.00,0.00,0.20,0.00
Other,0.00,0.00,0.00,0.80,0.00
Cash,0.90,3.19,4.09,3.21,0.00
Not Classified,0.00,0.00,0.00,1.64,0.01
