,Values
NAV,"5,186.19"
Open Price,"5,180.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"1,688.0 / 5,105.2"
Day Range,"5,150.00 – 5,200.00"
Year Range,"4,980.00 – 5,890.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.830%
Total Assets,4.1 Bil
