,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.00,—
Non-U.S.Stock,0.00,0.00,0.00,0.68,—
Bonds,6.33,0.00,6.33,41.45,—
Other,102.09,0.00,102.09,73.73,—
Cash,-8.42,122.53,114.10,156.77,—
Not Classified,0.00,0.00,0.00,0.09,—
