,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),1.07,0.83,7.30,16.08,15.60,24.02,0.35,0.48,—,—,—
Total Return % (NAV),-0.29,2.09,7.23,14.70,14.74,21.28,0.02,0.26,—,—,-2.03
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
