,Values
NAV,"8,396.09"
Open Price,"8,410.00"
Bid / Ask / Spread,"7,795.00 / 8,750.00 / 11.54%"
Volume / Avg,"32,947.0 / 3,848.8"
Day Range,"8,410.00 – 8,555.00"
Year Range,"6,760.00 – 8,555.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.770%
Total Assets,5.1 Bil
