,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.00,0.00
Non-U.S.Stock,30.03,0.00,30.03,26.64,29.07
Bonds,71.95,0.00,71.95,58.62,0.00
Other,0.01,0.00,0.01,0.75,70.15
Cash,-1.99,20.78,18.80,20.82,0.00
Not Classified,0.00,0.00,0.00,1.24,0.78
