Sectors,Fund %,Category %
Basic Materials,10.75,9.92
Consumer Cyclical,31.25,18.02
Financial Services,0.00,11.34
Real Estate,0.00,2.30
Communication Services,2.67,2.33
Energy,2.11,1.77
Industrials,20.07,12.04
Technology,23.28,26.05
Consumer Defensive,9.88,9.12
Healthcare,0.00,5.97
Utilities,0.00,1.13
