,Fund,Cat. Average,Index
Price/Earnings ,8.80,9.22,—
Price/Book ,0.99,0.83,—
Price/Sales ,0.43,0.46,—
Price/Cash Flow ,3.50,3.89,—
Dividend Yield % ,2.39,2.81,—
Long-Term Earnings % ,15.89,5.87,—
Historical Earnings % ,13.73,3.24,—
Sales Growth % ,-9.62,1.97,—
Cash-Flow Growth % ,-16.60,-5.54,—
Book-Value Growth % ,-2.11,6.47,—
