,Values
NAV,"10,037.38"
Open Price,"10,020.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,713.0 / 236.6
Day Range,"10,000.00 – 10,025.00"
Year Range,"9,700.00 – 10,385.00"
SEC Yield ,—
12-Month Yield ,0.49%
Premium ,—
Expense Ratio,0.280%
Total Assets,6.0 Bil
