,Values
NAV,"101,069.45"
Open Price,"101,085.00"
Bid / Ask / Spread,"101,085.00 / 101,090.00 / 0.00%"
Volume / Avg,"1,010.0 / 295.1"
Day Range,"101,085.00 – 101,085.00"
Year Range,"100,020.00 – 101,665.00"
SEC Yield ,—
12-Month Yield ,1.62%
Premium ,—
Expense Ratio,0.170%
Total Assets,135.0 Bil
