,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.09,-0.01,-0.58,-1.05,-0.69,-1.13,—,—,—,—,—
Total Return % (NAV),0.01,0.07,-0.52,-0.99,-0.64,-1.02,—,—,—,—,-1.06
+/- Category (NAV),0.02,0.11,-1.42,-2.93,-3.60,-5.56,—,—,—,—,—
+/- Index (NAV),-0.28,-0.16,-2.52,-4.95,-5.93,-9.25,—,—,—,—,—
