,Values
NAV,"49,394.28"
Open Price,"49,395.00"
Bid / Ask / Spread,"49,375.00 / 49,400.00 / 0.05%"
Volume / Avg,13.0 / 12.0
Day Range,"49,395.00 – 49,395.00"
Year Range,"49,385.00 – 49,955.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.100%
Total Assets,7.9 Bil
