Sectors,Fund %,Category %
Basic Materials,7.58,10.02
Consumer Cyclical,10.27,12.48
Financial Services,11.48,11.83
Real Estate,0.00,0.15
Communication Services,2.77,2.74
Energy,1.86,1.42
Industrials,9.10,9.86
Technology,44.01,35.63
Consumer Defensive,6.36,6.48
Healthcare,5.28,7.64
Utilities,1.29,1.76
