,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.00,0.00
Non-U.S.Stock,70.27,0.00,70.27,69.57,58.14
Bonds,30.63,0.00,30.63,12.09,0.00
Other,0.07,0.00,0.07,0.97,40.30
Cash,-0.97,5.94,4.98,14.24,0.00
Not Classified,0.00,0.00,0.00,7.01,1.56
