,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.66,-0.10,-4.79,-3.44,-1.30,-6.51,1.63,1.38,—,—,—
Total Return % (NAV),0.14,-0.51,-4.27,-3.65,-0.67,-6.78,1.85,1.59,—,—,1.42
+/- Category (NAV),0.08,-0.70,0.43,1.50,2.06,1.83,2.31,1.52,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
