,Values
NAV,"31,009.17"
Open Price,"30,870.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,654.0 / 222.5
Day Range,"30,790.00 – 30,875.00"
Year Range,"30,640.00 – 34,485.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.330%
Total Assets,12.4 Bil
