,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,-3.19,1.21,7.11,18.58,-11.97,-1.14
Fund (NAV),—,—,—,—,—,-3.26,1.10,7.26,18.48,-11.93,-0.78
+/ Category (NAV),—,—,—,—,—,-0.49,-2.57,5.13,4.49,-1.08,1.94
+/- Index (Price),—,—,—,—,—,-1.61,-1.78,2.12,1.35,-4.01,—
Percentile Rank,—,—,—,—,—,57,70,10,13,62,25
# of Funds in Category,—,—,—,—,306,313,328,263,252,325,400
