,Values
NAV,"2,472.82"
Open Price,"2,500.00"
Bid / Ask / Spread,"0.00 / 2,600.00 / 0.00%"
Volume / Avg,"8,204.0 / 13,986.0"
Day Range,"2,445.00 – 2,500.00"
Year Range,"2,200.00 – 7,620.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.130%
Total Assets,4.6 Bil
