,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.03,—
Non-U.S.Stock,199.67,0.00,199.67,620.20,—
Bonds,0.00,0.00,0.00,8.78,—
Other,0.01,0.00,0.01,3.73,—
Cash,-99.68,199.67,99.99,156.79,—
Not Classified,0.00,0.00,0.00,0.10,—
