,Values
NAV,"9,338.48"
Open Price,"9,220.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,58.0 / 340.2
Day Range,"9,175.00 – 9,305.00"
Year Range,"8,855.00 – 12,000.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.540%
Total Assets,6.1 Bil
