,Fund,Cat. Average,Index
Price/Earnings ,23.73,20.30,17.09
Price/Book ,3.69,2.56,3.38
Price/Sales ,3.91,2.04,1.97
Price/Cash Flow ,13.90,11.25,13.35
Dividend Yield % ,0.24,0.89,1.91
Long-Term Earnings % ,19.77,10.45,9.35
Historical Earnings % ,5.33,15.68,13.99
Sales Growth % ,6.02,9.13,5.37
Cash-Flow Growth % ,9.90,2.14,-2.79
Book-Value Growth % ,7.17,7.67,3.73
