,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.21,-1.74,-12.63,-18.16,-4.78,—,—,—,—,—,—
Total Return % (NAV),1.44,-0.22,-13.02,-17.59,-6.21,—,—,—,—,—,-11.51
+/- Category (NAV),0.64,-2.94,-7.34,-11.14,-2.04,—,—,—,—,—,—
+/- Index (NAV),1.58,1.72,-10.44,-20.20,-12.80,—,—,—,—,—,—
