,Values
Sustainability Rate,Low
Percent Rank in Global Category,96%
Historical Sustainability Score,39.50
Global Category,Consumer Goods & Services Sector Equity
Portfolio ESG,45.19
Controversy Deduction,4.16
Sustainability Score,41.03
Sustainability Mandate,No
