,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,-18.17,-14.61
Fund (NAV),—,—,—,—,—,—,—,—,—,-18.84,-14.67
+/ Category (NAV),—,—,—,—,—,—,—,—,—,-6.05,-21.61
+/- Index (Price),—,—,—,—,—,—,—,—,—,-8.73,—
Percentile Rank,—,—,—,—,—,—,—,—,—,91,88
# of Funds in Category,—,—,—,—,—,—,—,—,129,129,132
