,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),0.96,1.67,-8.06,-13.86,-13.79,-20.94,—,—,—,—,—
Total Return % (NAV),-0.69,-1.13,-9.43,-16.46,-14.86,-23.12,—,—,—,—,-9.82
+/- Category (NAV),-0.48,-0.79,-4.96,-11.11,-22.11,-17.22,—,—,—,—,—
+/- Index (NAV),-0.04,-2.45,-5.64,-16.48,-28.37,-25.75,—,—,—,—,—
