,Fund,Cat. Average,Index
Price/Earnings ,18.10,21.65,18.41
Price/Book ,1.56,2.67,2.59
Price/Sales ,0.80,1.80,1.18
Price/Cash Flow ,10.34,12.60,11.41
Dividend Yield % ,1.74,1.36,2.35
Long-Term Earnings % ,12.08,11.95,9.27
Historical Earnings % ,-1.25,13.32,5.82
Sales Growth % ,5.32,10.36,4.99
Cash-Flow Growth % ,-3.93,6.20,3.63
Book-Value Growth % ,6.99,11.50,7.88
