Sectors,Fund %,Category %
Basic Materials,7.62,6.42
Consumer Cyclical,10.33,10.04
Financial Services,11.46,14.39
Real Estate,0.00,0.89
Communication Services,2.77,2.37
Energy,1.88,1.90
Industrials,9.25,8.43
Technology,44.02,33.92
Consumer Defensive,6.39,6.36
Healthcare,4.98,14.24
Utilities,1.28,1.05
