,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.89,-1.26,-14.60,-9.59,-7.78,-23.07,-1.07,-2.89,—,—,—
Total Return % (NAV),1.98,1.92,-13.06,-10.37,-6.87,-23.71,-0.75,-2.69,—,—,0.72
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
