,Values
NAV,"6,166.71"
Open Price,"6,225.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"4,329.0 / 4,336.1"
Day Range,"6,170.00 – 6,235.00"
Year Range,"6,170.00 – 8,125.00"
SEC Yield ,—
12-Month Yield ,3.81%
Premium ,—
Expense Ratio,0.440%
Total Assets,24.8 Bil
