,Values
NAV,"7,431.07"
Open Price,"7,300.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"19,924.0 / 3,985.8"
Day Range,"7,230.00 – 7,330.00"
Year Range,"7,230.00 – 9,650.00"
SEC Yield ,—
12-Month Yield ,1.95%
Premium ,—
Expense Ratio,0.260%
Total Assets,3.9 Bil
