,Values
NAV,"49,361.37"
Open Price,"49,290.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,4.0 / 4.9
Day Range,"49,290.00 – 49,320.00"
Year Range,"49,290.00 – 50,070.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.090%
Total Assets,5.0 Bil
