,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.00,—
Non-U.S.Stock,0.00,0.00,0.00,0.00,—
Bonds,128.69,0.00,128.69,92.09,—
Other,0.01,0.00,0.01,0.18,—
Cash,-28.70,99.73,71.03,23.76,—
Not Classified,0.00,0.00,0.00,0.00,—
