,Values
NAV,"58,788.33"
Open Price,"59,130.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,154.0 / 698.8
Day Range,"59,085.00 – 59,170.00"
Year Range,"52,340.00 – 59,170.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.190%
Total Assets,6.1 Bil
