,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,8.15,—
Non-U.S.Stock,99.91,0.00,99.91,79.51,—
Bonds,2.74,0.00,2.74,0.07,—
Other,0.00,0.00,0.00,0.89,—
Cash,-2.65,5.13,2.48,24.83,—
Not Classified,0.00,0.00,0.00,0.06,—
