,Fund,Cat. Average,Index
Price/Earnings ,11.35,13.31,—
Price/Book ,0.71,0.99,—
Price/Sales ,0.55,0.52,—
Price/Cash Flow ,3.45,3.85,—
Dividend Yield % ,2.83,2.16,—
Long-Term Earnings % ,6.77,15.19,—
Historical Earnings % ,7.17,35.81,—
Sales Growth % ,1.16,2.99,—
Cash-Flow Growth % ,-9.37,2.81,—
Book-Value Growth % ,8.84,1.55,—
