,Fund,Cat. Average,Index
Price/Earnings ,9.42,11.02,12.13
Price/Book ,0.66,0.84,0.86
Price/Sales ,0.36,0.53,0.65
Price/Cash Flow ,3.04,3.46,3.66
Dividend Yield % ,3.61,3.08,3.48
Long-Term Earnings % ,10.27,10.07,3.69
Historical Earnings % ,-4.24,15.26,14.88
Sales Growth % ,-4.14,11.25,4.89
Cash-Flow Growth % ,6.19,16.83,15.05
Book-Value Growth % ,1.45,10.86,8.56
