,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,5.35,12.39,21.95,-9.71,-9.42
Fund (NAV),—,—,—,—,—,—,5.31,12.74,22.22,-9.81,-8.83
+/ Category (NAV),—,—,—,—,—,—,1.29,12.05,-0.26,6.86,-4.05
+/- Index (Price),—,—,—,—,—,—,8.17,-1.43,-10.28,7.93,-10.08
Percentile Rank,—,—,—,—,—,—,38,2,55,6,90
# of Funds in Category,—,—,—,—,—,"1,796","2,103","2,012","2,058","2,015","2,325"
