Sectors,Fund %,Category %
Basic Materials,17.91,8.70
Consumer Cyclical,16.21,13.65
Financial Services,25.25,11.56
Real Estate,0.00,0.29
Communication Services,4.64,2.34
Energy,5.43,1.96
Industrials,12.22,10.46
Technology,3.75,38.20
Consumer Defensive,12.85,6.64
Healthcare,0.00,4.97
Utilities,1.74,1.23
