,Values
NAV,"25,263.08"
Open Price,"25,365.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"1,574.0 / 3,081.0"
Day Range,"25,200.00 – 25,415.00"
Year Range,"25,185.00 – 32,625.00"
SEC Yield ,—
12-Month Yield ,3.35%
Premium ,—
Expense Ratio,0.290%
Total Assets,14.4 Bil
