,Values
NAV,"23,993.26"
Open Price,"24,115.00"
Bid / Ask / Spread,"22,500.00 / 24,900.00 / 10.13%"
Volume / Avg,"8,440.0 / 34,135.1"
Day Range,"23,820.00 – 24,115.00"
Year Range,"21,695.00 – 45,045.00"
SEC Yield ,—
12-Month Yield ,0.19%
Premium ,—
Expense Ratio,0.420%
Total Assets,88.3 Bil
