,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,32.15,65.34
Non-U.S.Stock,99.90,0.00,99.90,56.33,34.66
Bonds,0.00,0.00,0.00,1.52,0.00
Other,0.00,0.00,0.00,1.72,0.00
Cash,0.10,0.17,0.26,18.00,0.00
Not Classified,0.00,0.00,0.00,0.01,0.00
