,Values
NAV,"3,208.51"
Open Price,"3,205.00"
Bid / Ask / Spread,"3,150.00 / 3,195.00 / 1.42%"
Volume / Avg,"28,808.0 / 59,149.9"
Day Range,"3,155.00 – 3,260.00"
Year Range,"1,940.00 – 3,935.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.600%
Total Assets,21.5 Bil
