,Values
NAV,"113,426.23"
Open Price,"113,430.00"
Bid / Ask / Spread,"113,525.00 / 0.00 / 0.00%"
Volume / Avg,"727.0 / 2,733.0"
Day Range,"113,430.00 – 113,535.00"
Year Range,"110,570.00 – 113,630.00"
SEC Yield ,—
12-Month Yield ,0.67%
Premium ,—
Expense Ratio,0.180%
Total Assets,71.5 Bil
