,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,6.97,4.72,4.64,2.52,5.25,3.22,1.32,0.46,3.28,2.91
Fund (NAV),—,6.97,4.78,4.72,2.53,5.31,3.23,1.33,0.47,3.27,2.86
+/ Category (NAV),—,2.67,1.09,0.83,0.70,1.03,0.50,0.03,0.05,0.24,-0.10
+/- Index (Price),—,-0.41,-0.74,-1.09,0.27,-1.42,-1.06,-0.45,-0.17,-1.46,-2.38
Percentile Rank,—,12,18,25,16,30,31,49,48,41,48
# of Funds in Category,295,310,240,245,257,276,329,366,449,545,717
