,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),0.07,0.06,0.89,1.95,2.91,4.41,1.91,2.65,3.70,—,—
Total Return % (NAV),-0.01,-0.04,0.80,1.92,2.86,4.34,1.89,2.66,3.71,—,3.63
+/- Category (NAV),-0.00,-0.00,-0.09,-0.03,-0.10,-0.20,0.15,0.27,0.81,—,—
+/- Index (NAV),-0.30,-0.27,-1.19,-2.05,-2.43,-3.89,-0.90,-1.21,-0.90,—,—
