,Fund,Cat. Average,Index
Price/Earnings ,9.10,11.02,12.13
Price/Book ,0.86,0.84,0.86
Price/Sales ,0.53,0.53,0.65
Price/Cash Flow ,3.92,3.46,3.66
Dividend Yield % ,2.78,3.08,3.48
Long-Term Earnings % ,14.49,10.07,3.69
Historical Earnings % ,8.73,15.26,14.88
Sales Growth % ,0.33,11.25,4.89
Cash-Flow Growth % ,3.07,16.83,15.05
Book-Value Growth % ,4.83,10.86,8.56
