,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.16,0.00
Non-U.S.Stock,98.89,0.00,98.89,95.78,99.99
Bonds,0.00,0.00,0.00,0.20,0.00
Other,0.28,0.00,0.28,0.80,0.00
Cash,0.83,1.69,2.53,3.21,0.00
Not Classified,0.00,0.00,0.00,1.64,0.01
