Sectors,Fund %,Category %
Basic Materials,8.56,8.70
Consumer Cyclical,12.23,13.65
Financial Services,11.50,11.56
Real Estate,0.14,0.29
Communication Services,2.47,2.34
Energy,2.22,1.96
Industrials,10.92,10.46
Technology,36.08,38.20
Consumer Defensive,7.71,6.64
Healthcare,6.35,4.97
Utilities,1.81,1.23
