,Values
NAV,"19,488.12"
Open Price,"19,545.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"454.0 / 40,093.0"
Day Range,"19,440.00 – 19,570.00"
Year Range,"19,055.00 – 23,910.00"
SEC Yield ,—
12-Month Yield ,1.92%
Premium ,—
Expense Ratio,0.160%
Total Assets,236.8 Bil
