Sectors,Fund %,Category %
Basic Materials,0.80,1.61
Consumer Cyclical,62.98,25.42
Financial Services,0.00,9.63
Real Estate,0.00,0.34
Communication Services,0.00,2.05
Energy,0.51,0.00
Industrials,15.71,3.62
Technology,19.67,18.47
Consumer Defensive,0.32,23.67
Healthcare,0.00,14.74
Utilities,0.00,0.46
