,Values
NAV,"9,349.03"
Open Price,"9,445.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"70.0 / 2,920.5"
Day Range,"9,290.00 – 9,445.00"
Year Range,"9,115.00 – 12,535.00"
SEC Yield ,—
12-Month Yield ,1.22%
Premium ,—
Expense Ratio,0.470%
Total Assets,8.4 Bil
