,Values
NAV,"13,200.74"
Open Price,"13,200.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"666.0 / 3,017.9"
Day Range,"12,895.00 – 13,200.00"
Year Range,"10,680.00 – 13,215.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.470%
Total Assets,13.2 Bil
