,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,6.81,4.82,18.48
Fund (NAV),—,—,—,—,—,—,—,—,7.20,4.54,19.49
+/ Category (NAV),—,—,—,—,—,—,—,—,-18.05,10.85,23.46
+/- Index (Price),—,—,—,—,—,—,—,—,-14.59,3.52,10.29
Percentile Rank,—,—,—,—,—,—,—,—,78,1,9
# of Funds in Category,—,—,—,—,—,—,—,80,93,100,118
