,Fund,Cat. Average,Index
Price/Earnings ,—,20.30,17.09
Price/Book ,—,2.56,3.38
Price/Sales ,—,2.04,1.97
Price/Cash Flow ,—,11.25,13.35
Dividend Yield % ,—,0.89,1.91
Long-Term Earnings % ,—,10.45,9.35
Historical Earnings % ,—,15.68,13.99
Sales Growth % ,—,9.13,5.37
Cash-Flow Growth % ,—,2.14,-2.79
Book-Value Growth % ,—,7.67,3.73
