,Fund,Cat. Average,Index
Price/Earnings ,12.78,18.61,—
Price/Book ,1.42,2.88,—
Price/Sales ,1.61,1.98,—
Price/Cash Flow ,5.31,9.20,—
Dividend Yield % ,3.36,1.69,—
Long-Term Earnings % ,7.99,10.42,—
Historical Earnings % ,13.79,8.99,—
Sales Growth % ,8.52,5.87,—
Cash-Flow Growth % ,16.11,5.20,—
Book-Value Growth % ,8.20,9.23,—
