Sectors,Fund %,Category %
Basic Materials,4.14,2.78
Consumer Cyclical,3.39,19.27
Financial Services,33.86,16.81
Real Estate,4.65,2.49
Communication Services,4.55,3.58
Energy,3.34,3.04
Industrials,1.57,6.53
Technology,40.63,33.42
Consumer Defensive,0.59,4.60
Healthcare,1.02,6.41
Utilities,2.26,1.07
