,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,26.91,—
Non-U.S.Stock,96.83,0.00,96.83,41.47,—
Bonds,0.00,0.00,0.00,0.51,—
Other,0.00,0.00,0.00,0.78,—
Cash,1.84,2.95,4.79,75.36,—
Not Classified,1.33,0.00,1.33,0.11,—
