,Values
NAV,"10,408.42"
Open Price,"10,430.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"1,826.0 / 11,763.2"
Day Range,"10,240.00 – 10,430.00"
Year Range,"8,990.00 – 11,100.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.830%
Total Assets,51.5 Bil
