,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.32,2.49,-5.35,-1.34,6.87,4.59,0.78,-5.54,—,—,—
Total Return % (NAV),-0.65,0.77,-4.79,-1.65,8.29,3.75,0.96,-5.04,—,—,-4.94
+/- Category (NAV),-0.70,0.95,2.24,6.31,13.07,17.48,2.01,-4.31,—,—,—
+/- Index (NAV),-0.96,1.41,1.17,2.83,7.63,14.14,-3.47,-7.65,—,—,—
