,Values
NAV,"16,901.29"
Open Price,"16,915.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"127.0 / 1,411.7"
Day Range,"16,915.00 – 16,915.00"
Year Range,"13,575.00 – 18,830.00"
SEC Yield ,—
12-Month Yield ,1.91%
Premium ,—
Expense Ratio,0.210%
Total Assets,5.7 Bil
