,Values
NAV,"15,061.82"
Open Price,"15,230.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"5,356.0 / 7,093.5"
Day Range,"15,200.00 – 15,320.00"
Year Range,"9,545.00 – 16,260.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.360%
Total Assets,7.5 Bil
